case_id,VHL_mutation,PBMR1_mutation,TTN_mutation
C3L-00970,1,0,1
C3N-00953,1,0,0
C3L-00583,1,1,0
C3N-01361,1,0,0
C3L-00982,0,0,0
C3L-01281,1,1,0
C3N-01178,1,0,0
C3N-00154,1,1,0
C3N-00573,1,0,0
C3L-00908,1,0,0
C3N-02015,0,0,0
C3L-00980,1,0,0
C3N-01091,1,0,1
C3L-01836,1,1,0
C3N-00312,1,1,1
C3L-00607,0,0,1
C3L-00907,1,0,0
C3L-00792,1,0,0
C3L-00097,1,0,0
C3L-01665,1,1,0
C3N-00646,0,0,0
C3L-01302,0,1,0
C3N-01082,1,1,0
C3N-01989,1,1,0
C3N-02763,1,0,0
C3L-01033,1,1,0
C3L-01106,1,0,0
C3N-00194,1,0,1
C3N-00647,0,1,1
C3N-01085,0,0,0
C3N-00852,1,1,1
C3L-02346,1,1,0
C3L-01676,0,0,0
C3L-02857,0,0,0
C3N-01536,1,0,0
C3N-03019,0,0,1
C3L-02551,1,0,1
C3L-00183,0,0,0
C3L-00765,0,0,0
C3N-01261,1,0,0
C3L-01553,1,1,0
C3N-02945,1,1,0
C3L-02211,1,0,1
C3L-00976,1,0,1
C3L-01288,1,0,0
C3N-00721,1,0,0
C3N-01213,1,1,1
C3L-01976,1,0,1
C3L-00418,1,1,1
C3L-01603,0,0,0
C3N-00733,1,1,0
C3N-00242,1,1,0
C3L-00812,1,0,0
C3N-03018,1,0,0
C3L-01102,1,0,0
C3L-02175,1,0,0
C3L-02220,0,1,0
C3L-02841,1,0,1
C3N-00492,0,0,0
C3L-01352,0,0,0
C3N-01220,0,0,0
C3L-01861,1,1,0
C3N-00435,0,0,0
C3L-02177,1,0,0
C3N-00437,1,0,0
C3L-01313,1,0,0
C3L-00011,1,0,1
C3N-01648,0,0,0
C3N-02085,1,0,0
C3N-00320,1,1,0
C3N-01905,1,1,0
C3N-00148,1,1,0
C3N-02160,0,0,1
C3N-01176,1,0,1
C3N-01654,1,1,1
C3L-00796,0,0,0
C3L-00360,1,0,0
C3N-00495,1,0,0
C3L-01107,1,1,0
C3L-01607,1,1,0
C3N-02262,1,1,0
C3N-02811,1,0,0
C3N-01090,1,1,0
C3N-00494,1,1,1
C3L-01869,1,0,0
C3N-02431,1,0,0
C3L-01954,0,0,1
C3N-02066,1,0,0
C3N-00246,1,0,1
C3L-00968,0,0,0
C3N-02224,1,1,1
C3L-01464,0,0,0
C3N-01646,0,0,0
C3N-02070,1,1,0
C3L-01034,1,0,0
C3N-01649,1,1,1
C3N-00310,1,0,1
C3N-01088,1,1,0
C3N-02248,0,1,1
C3N-00832,0,0,0
C3N-01651,1,1,1
C3L-02856,1,0,0
C3N-02723,0,0,0
C3N-01180,0,0,0
C3N-01806,1,0,0
C3N-01524,1,0,0
C3L-02201,1,1,0
C3N-00390,1,0,0
C3L-00088,1,0,0
C3L-00359,0,0,0
C3L-00981,1,0,1
C3L-00610,1,1,0
C3N-02338,1,0,1
C3L-00766,0,0,0
C3N-01828,1,0,0
C3N-01657,0,0,0
C3N-02429,1,0,0
C3L-01978,1,0,0
C3L-00165,1,0,0
C3N-00577,0,1,0
C3N-02084,1,0,0
C3L-00581,1,0,0
C3N-00831,0,0,0
C3L-02176,1,1,0
C3N-01902,1,0,0
C3L-01885,1,1,1
C3L-00910,1,1,1
C3L-00026,1,0,1
C3N-01078,1,0,0
C3L-01958,1,0,1
C3L-01681,1,1,0
C3N-02726,1,1,0
C3N-00315,1,0,1
C3L-00096,1,0,0
C3N-02439,0,1,0
C3N-02266,1,0,0
C3L-00814,1,1,0
C3L-00010,1,0,0
C3L-01560,1,0,0
C3N-02063,1,0,0
C3L-00817,1,0,0
C3N-01808,0,0,0
C3L-00966,1,0,0
C3L-01287,1,0,0
C3N-00177,1,0,1
C3N-01086,1,0,0
C3L-00791,1,1,0
C3N-01081,1,0,0
C3N-00715,0,0,0
C3N-01214,1,0,0
C3N-00244,1,1,0
C3L-00561,1,0,0
C3L-02208,1,0,0
C3N-01656,1,0,0
C3L-01951,1,1,0
C3L-00369,1,0,1
C3L-00969,1,1,0
C3N-00314,0,1,0
C3L-02553,1,1,0
C3L-01929,1,0,0
C3N-01175,0,0,0
C3N-00150,0,0,0
C3L-01557,1,1,0
C3N-00491,1,1,0
C3L-02544,1,1,0
C3L-01952,0,0,0
C3N-00305,1,1,0
C3N-03020,1,1,0
C3L-00447,1,0,0
